#{"t_start": 1648261826.6046648, "env_id": "HummingbirdHoverTaskEnvPPO-v2"}
r,l,t
86.704897,188,2829.117643
135.581787,275,2834.741889
154.470456,308,2841.045451
351.819885,493,2852.280314
-100,1,2852.401877
440.236462,576,2864.083287
438.804181,580,2875.801787
351.96622,487,2886.929357
344.056585,479,2896.695113
252.028302,395,2904.768815
159.229853,317,2911.261949
247.125779,382,2919.046505
87.704779,189,2923.017984
-100,1,2923.148176
348.924241,487,2934.223465
340.41898,475,2943.902081
148.128235,291,2949.90055
441.453493,580,2961.629061
353.810831,498,2972.95418
-100,1,2973.073715
131.973734,271,2978.627185
-100,1,2978.749572
256.07931,398,2986.882113
145.081476,282,2992.703592
-100,1,2992.814351
137.571776,276,2998.48542
-100,1,2998.637266
199.451915,301,3004.789791
355.101512,515,3016.464634
234.184185,360,3023.790111
352.272413,498,3033.899329
271.585781,437,3042.791373
236.626517,366,3050.25521
257.533263,420,3059.988719
236.406427,370,3067.533887
232.043726,368,3074.988145
-100,1,3075.11861
101.58526,203,3079.309197
460.573956,614,3091.73793
346.472791,483,3102.732512
134.962525,274,3108.348425
345.93233,484,3118.17252
338.637613,476,3127.825528
-100,1,3127.956258
202.362275,304,3134.169862
145.274006,279,3139.860756
-100,1,3140.013997
440.186393,581,3153.020658
341.346927,476,3162.724127
135.601614,276,3168.375918
-100,1,3168.496719
437.245994,573,3180.083
142.903472,285,3185.937968
351.435513,493,3197.122725
-100,1,3197.246054
348.679256,486,3207.11651
-100,1,3207.227902
247.786049,390,3215.194454
356.555948,502,3225.370522
149.681397,293,3232.541495
147.500291,287,3238.424957
141.880851,280,3244.156918
-100,1,3244.263693
364.486707,518,3254.783531
460.625124,603,3266.970422
455.771934,595,3280.195663
-100,1,3280.31932
159.463973,297,3286.379885
432.139966,567,3297.874597
-100,1,3297.985322
188.481565,290,3303.907411
-100,1,3304.02564
457.860995,603,3317.445555
455.328078,593,3329.470528
354.770655,518,3339.937458
187.508621,289,3345.892252
439.700868,583,3357.678844
237.559503,372,3366.473424
-100,1,3366.624067
250.898329,391,3374.538587
261.989832,404,3382.751163
474.083279,559,3394.07772
276.898493,437,3404.191993
346.396474,484,3413.987002
443.327257,584,3425.773851
