#{"t_start": 1646376119.036609, "env_id": "HummingbirdHoverTaskEnvPPO-v3"}
r,l,t
34.630497,62,529.508818
0,1,529.65307
32.659011,58,530.93368
30.219921,52,533.393068
0,1,533.512192
30.641875,57,534.775803
34.213806,58,536.056323
32.129097,59,537.377166
0,1,537.506673
30.670471,57,538.73693
30.690105,56,539.958291
30.170596,56,541.188737
0,1,541.299383
31.704546,56,542.540699
37.144839,63,543.921636
0,1,544.039907
31.691795,56,545.251312
31.169862,57,546.531296
0,1,546.651427
35.181753,61,547.961349
0,1,548.09152
28.715766,52,549.262863
33.196185,57,550.512292
0,1,550.622435
34.653185,60,551.933457
0,1,552.035425
33.712916,58,553.285454
0,1,553.436152
32.212525,55,554.625434
33.684107,59,555.937223
0,1,556.067737
32.197754,55,557.256483
0,1,557.386918
32.725382,56,558.589828
0,1,558.70821
31.175645,55,559.938123
0,1,560.069032
34.652898,62,561.387515
32.077171,59,562.669283
32.201352,55,563.879394
38.601974,68,565.35062
0,1,565.472265
-66.807142,57,566.703597
-100,1,566.810811
33.188625,58,568.052476
33.661772,59,569.321464
0,1,569.443042
33.673034,60,570.754798
0,1,570.884571
32.689985,57,572.145552
0,1,572.274026
26.241271,49,573.374702
0,1,573.506155
33.720169,57,574.766559
0,1,574.896761
30.197976,54,576.085389
0,1,576.208821
31.713276,54,577.376757
0,1,577.508214
33.186129,57,578.738676
0,1,578.848788
29.236133,51,579.959554
26.210178,50,582.337717
32.166092,58,583.607804
0,1,583.708333
40.172081,69,585.178913
32.665695,60,586.532426
0,1,586.651528
34.665322,61,587.984318
0,1,588.114452
30.169397,55,589.343115
0,1,589.463151
32.195597,57,590.694655
0,1,590.814538
37.145623,64,592.213492
0,1,592.323526
33.189945,57,593.543901
0,1,593.653294
34.666911,60,594.934971
0,1,595.076678
30.175128,55,596.277092
0,1,596.407446
34.192121,59,597.676983
33.206731,58,598.929362
34.163869,62,600.279628
0,1,600.408099
32.669308,58,601.65901
0,1,601.789
34.644317,61,603.09059
0,1,603.229865
32.162152,57,604.461776
30.758697,52,605.601551
0,1,605.732925
28.752765,50,606.81384
0,1,606.933272
34.144968,61,608.281277
35.172463,60,609.582519
0,1,609.715018
35.154585,61,611.025454
30.17838,57,612.314731
0,1,612.436604
-76.182947,43,613.396771
-100,1,613.506533
31.190598,57,614.767303
34.642362,62,616.157891
32.168116,57,617.427742
-100,1,617.537544
35.080609,64,618.948704
-69.297772,52,620.086735
-100,1,620.207841
31.216781,55,621.399888
0,1,621.551102
32.195117,56,622.760364
28.708797,52,623.950869
0,1,624.072163
33.167086,59,625.371213
0,1,625.501919
